"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0035265","organ growth","26/1012","180/18614",4.9833244206752e-06,2.27242703301616e-05,1.01966043651553e-05,"LEP/AGT/RBP4/MIR195/G6PD/POR/SERP1/IGF1/IL7/MAPK14/EDN1/RUNX1/FGF2/CDK1/AKT1/SOD1/NOTCH1/MMP13/RGS2/YAP1/HAMP/TSKU/PSAP/AR/PPARA/PDGFRB",26
"BP","GO:0072001","renal system development","38/1012","320/18614",5.13692227130308e-06,2.34064283694761e-05,1.0502695409679e-05,"VEGFA/AP2B1/AGT/REN/NF1/RET/CTNNB1/RBP4/ADIPOQ/ANGPT2/CAT/MMP9/STAT1/EGR1/SMAD4/ANGPT1/NRP1/ASS1/PECAM1/ACE/RHOA/CD34/CXCR2/TEK/FGF2/SDC1/NOTCH1/MME/IL6R/AGTR1/YAP1/PDGFRA/PKD2/AGTR2/ENPEP/SMAD3/PDGFRB/LRP4",38
"BP","GO:0055072","iron ion homeostasis","17/1012","89/18614",5.14776607446669e-06,2.34375704605391e-05,1.05166691732833e-05,"IFNG/HIF1A/LCN2/TMPRSS6/SMAD4/SOD2/FTH1/CP/TF/HPX/SOD1/SRI/HAMP/ABCB6/GLRX5/B2M/ATP6V0A2",17
"BP","GO:0055093","response to hyperoxia","8/1012","20/18614",5.20354333627008e-06,2.36729323389772e-05,1.06222783709475e-05,"FAS/EPO/CAT/MMP2/FOXO1/SOD2/CAV1/PDGFRB",8
"BP","GO:0045921","positive regulation of exocytosis","16/1012","80/18614",5.21160860764004e-06,2.36729323389772e-05,1.06222783709475e-05,"ITGAM/SNCA/IFNG/FGB/IL4/IL13/S100A10/KLRC2/SDC1/ITGB2/LAMP1/SYK/F2RL1/UNC13D/ANXA2/STAM",16
"BP","GO:0048844","artery morphogenesis","16/1012","80/18614",5.21160860764004e-06,2.36729323389772e-05,1.06222783709475e-05,"VEGFA/APOE/NF1/COL3A1/NRP1/MIR145/EDN1/NOTCH1/ENG/ANGPTL3/PKD2/HEY1/CHD7/APOB/BMPR2/PDGFRB",16
"BP","GO:0032231","regulation of actin filament bundle assembly","19/1012","108/18614",5.2249900545554e-06,2.36968905034374e-05,1.06330286357862e-05,"MIR21/PIK3R1/MTOR/NRP1/APOA1/SERPINF2/S100A10/MIR20A/RHOA/F11R/CD47/CX3CL1/PXN/PLEK/STMN1/TJP1/SLC9A1/BRAF/SMAD3",19
"BP","GO:0090398","cellular senescence","19/1012","108/18614",5.2249900545554e-06,2.36968905034374e-05,1.06330286357862e-05,"MIR17/SIRT1/LMNA/CDKN2A/MAPK14/MIR34A/MORC3/MIF/MIR146A/ATM/TP53/CDKN1A/CGAS/CDKN2B/B2M/MAP2K7/HRAS/TWIST1/BCL6",19
"BP","GO:0031639","plasminogen activation","9/1012","26/18614",5.40094188493954e-06,2.44569374588354e-05,1.09740692056499e-05,"FGB/SERPINF2/S100A10/SERPINE1/RUNX1/PLAU/PLAUR/PLAT/ANXA2",9
"BP","GO:0045672","positive regulation of osteoclast differentiation","9/1012","26/18614",5.40094188493954e-06,2.44569374588354e-05,1.09740692056499e-05,"TNF/IL12B/CSF1/IFNG/IL17A/TREM2/FOS/TNFSF11/IL23A",9
"BP","GO:0009267","cellular response to starvation","25/1012","170/18614",5.45153636584943e-06,2.46669362188512e-05,1.1068297721767e-05,"KRT20/FAS/ALB/NFE2L2/GAS6/PIK3C3/MTOR/SIRT1/ATF3/FOS/FOXO1/DSC2/AOC1/GABARAP/EIF2S1/TP53/HSPA5/CDKN1A/COMT/PMAIP1/BMPR2/UPP1/PPARA/IFI16/SLC2A1",25
"BP","GO:1904062","regulation of monoatomic cation transmembrane transport","40/1012","346/18614",5.646899606217e-06,2.55311485676292e-05,1.14560783316585e-05,"EPO/CD19/SNCA/IFNG/CXCL10/G6PD/MIR21/MMP9/TREM2/CXCL9/ADRA2A/IL13/F2/VDAC1/MIR200C/EDN1/THY1/RAMP3/CX3CL1/ITGB1/CXCL11/SUMO1/ABCC8/CAV1/SRI/PKD2/PRNP/TLR9/GSTO1/CHD7/KCNRG/SLC9A1/GRIN1/RYR2/P2RX7/BAK1/TWIST1/UTRN/NPPA/STAC3",40
"BP","GO:0034101","erythrocyte homeostasis","22/1012","139/18614",5.90642539068369e-06,2.66838970895957e-05,1.1973327970051e-05,"VEGFA/EPO/KIT/AXL/HIF1A/MB/G6PD/ZFPM1/STAT1/MAPK14/MIR486-1/CASP3/STAT3/MIR221/B2M/AHSP/RPS6/BCL6/PLA2G10/PRKDC/ISG15/RB1",22
"BP","GO:0030038","contractile actin filament bundle assembly","19/1012","109/18614",6.01037682145486e-06,2.70534426603649e-05,1.2139146714736e-05,"MIR21/PIK3R1/MTOR/NRP1/APOA1/SERPINF2/S100A10/MIR20A/RHOA/F11R/CD47/SRC/PXN/STMN1/TJP1/ELN/SLC9A1/BRAF/SMAD3",19
"BP","GO:0043149","stress fiber assembly","19/1012","109/18614",6.01037682145486e-06,2.70534426603649e-05,1.2139146714736e-05,"MIR21/PIK3R1/MTOR/NRP1/APOA1/SERPINF2/S100A10/MIR20A/RHOA/F11R/CD47/SRC/PXN/STMN1/TJP1/ELN/SLC9A1/BRAF/SMAD3",19
"BP","GO:0060840","artery development","19/1012","109/18614",6.01037682145486e-06,2.70534426603649e-05,1.2139146714736e-05,"VEGFA/LEP/AP2B1/APOE/NF1/COL3A1/NRP1/MIR145/EDN1/NOTCH1/ENG/ANGPTL3/PKD2/HEY1/CHD7/APOB/DDIT3/BMPR2/PDGFRB",19
"BP","GO:0034116","positive regulation of heterotypic cell-cell adhesion","7/1012","15/18614",6.02061732828169e-06,2.70534426603649e-05,1.2139146714736e-05,"IL1B/IL10/TNF/FGB/THY1/AGER/CD44",7
"BP","GO:0098883","synapse pruning","7/1012","15/18614",6.02061732828169e-06,2.70534426603649e-05,1.2139146714736e-05,"ITGAM/C3/C1QA/TREM2/CX3CR1/CX3CL1/ITGB1",7
"BP","GO:1902563","regulation of neutrophil activation","7/1012","15/18614",6.02061732828169e-06,2.70534426603649e-05,1.2139146714736e-05,"ITGAM/TNF/ITGB2/SYK/GRN/PLA2G2A/FCGR2B",7
"BP","GO:2001279","regulation of unsaturated fatty acid biosynthetic process","7/1012","15/18614",6.02061732828169e-06,2.70534426603649e-05,1.2139146714736e-05,"IL1B/SIRT1/CD74/MIR132/ANXA1/AVP/PTGS2",7
"BP","GO:0051262","protein tetramerization","17/1012","90/18614",6.02933611780188e-06,2.70718117854607e-05,1.21473891224531e-05,"SNCA/CBY1/TRPA1/ACACA/TDO2/SOD2/MIP/HLA-DRB1/AQP4/TP53/TRPM3/PKD2/B2M/GRIN1/RRM1/HSD17B10/KRT10",17
"BP","GO:0001822","kidney development","37/1012","310/18614",6.05969412786818e-06,2.71872385813641e-05,1.21991822649332e-05,"VEGFA/AP2B1/AGT/REN/NF1/RET/CTNNB1/ADIPOQ/ANGPT2/CAT/MMP9/STAT1/EGR1/SMAD4/ANGPT1/NRP1/ASS1/PECAM1/ACE/RHOA/CD34/CXCR2/TEK/FGF2/SDC1/NOTCH1/MME/IL6R/AGTR1/YAP1/PDGFRA/PKD2/AGTR2/ENPEP/SMAD3/PDGFRB/LRP4",37
"BP","GO:0043299","leukocyte degranulation","16/1012","81/18614",6.17069842287985e-06,2.76640360277267e-05,1.2413125984676e-05,"ITGAM/KIT/IL4/FCGR3A/CCL3/IL13/KLRC2/BTK/ITGB2/LAMP1/LGALS9/SYK/F2RL1/STXBP2/UNC13D/FCGR2B",16
"BP","GO:0001916","positive regulation of T cell mediated cytotoxicity","11/1012","40/18614",6.25636119290427e-06,2.79622993377052e-05,1.25469596754526e-05,"IL12B/HLA-DRA/PTPRC/HLA-C/HLA-A/HLA-DRB1/IL23A/HLA-B/B2M/P2RX7/CD1C",11
"BP","GO:0002478","antigen processing and presentation of exogenous peptide antigen","11/1012","40/18614",6.25636119290427e-06,2.79622993377052e-05,1.25469596754526e-05,"FCGR1A/CTSL/CD74/HLA-DRA/HLA-A/HLA-DRB1/HLA-DQA1/B2M/FCGR2B/HLA-DOB/HLA-DQB1",11
"BP","GO:0050850","positive regulation of calcium-mediated signaling","11/1012","40/18614",6.25636119290427e-06,2.79622993377052e-05,1.25469596754526e-05,"CD4/TNF/ADA/IGF1/TREM2/CCL4/CCL3/CLEC7A/SYK/SLC9A1/HINT1",11
"BP","GO:1901031","regulation of response to reactive oxygen species","11/1012","40/18614",6.25636119290427e-06,2.79622993377052e-05,1.25469596754526e-05,"IL10/MIR17/NFE2L2/MIR21/HGF/TXN/PINK1/MIR34A/RACK1/MIRLET7B/GCH1",11
"BP","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","44/1012","398/18614",6.28262855295579e-06,2.80582479148813e-05,1.25900127489573e-05,"AMH/ARRB2/MIR17/EP300/TGFB1/CDH5/MIR21/COL1A2/COL3A1/ADAM17/TMPRSS6/PARP1/SIRT1/FOS/PPARG/EGR1/SMAD4/KDR/CLDN5/FURIN/MAPK14/MIR20A/STAT3/GDF15/PTK2/SRC/PXN/TF/NOTCH1/MIR146A/ENG/TP53/CAV1/HSPA5/MIR885/ZEB2/CDKN2B/SMAD3/ACVR1/BMPR2/VIM/FMOD/PPARA/XIAP",44
"BP","GO:0034446","substrate adhesion-dependent cell spreading","18/1012","100/18614",6.59038299844559e-06,2.9410212983903e-05,1.31966528181008e-05,"FGB/TYRO3/AXL/MERTK/PIK3R1/NRP1/APOA1/S100A10/RHOA/TEK/FN1/PTK2/SRC/PXN/UNC13D/BRAF/ITGB7/RAB1A",18
"BP","GO:0071326","cellular response to monosaccharide stimulus","22/1012","140/18614",6.6541608048518e-06,2.96721770138548e-05,1.33141986636884e-05,"TH/LEP/GAS6/HIF1A/PTPRN/TREM2/SMAD4/FGF21/GPX1/ADRA2A/ACE/GCG/MIR320A/HLA-DRB1/AQP4/RACK1/ABCC8/AGER/MIR146A/NCF1/SRI/PTPRN2",22
"BP","GO:0001837","epithelial to mesenchymal transition","25/1012","172/18614",6.73365534598255e-06,3.00037722199802e-05,1.34629887052218e-05,"IL1B/IL6/CTNNB1/TGFB1/HIF1A/MIR21/IGF1/HGF/MTOR/SMAD4/S100A4/MIR145/EDN1/PTK2/NOTCH1/NOTCH4/ENG/MIR221/HEY1/KLHL12/MARK1/SMAD3/ACVR1/TWIST1/TRIM28",25
"BP","GO:0030218","erythrocyte differentiation","21/1012","130/18614",6.89243571928143e-06,3.06878744972728e-05,1.37699521485143e-05,"VEGFA/EPO/KIT/HIF1A/MB/G6PD/ZFPM1/STAT1/MAPK14/MIR486-1/CASP3/STAT3/MIR221/B2M/AHSP/RPS6/BCL6/PLA2G10/PRKDC/ISG15/RB1",21
"BP","GO:0043300","regulation of leukocyte degranulation","12/1012","48/18614",7.05639649595209e-06,3.13701094413201e-05,1.40760777009507e-05,"ITGAM/IL4/IL13/KLRC2/ITGB2/LAMP1/LGALS9/SYK/F2RL1/STXBP2/UNC13D/FCGR2B",12
"BP","GO:1903426","regulation of reactive oxygen species biosynthetic process","12/1012","48/18614",7.05639649595209e-06,3.13701094413201e-05,1.40760777009507e-05,"INS/TLR4/SNCA/MIR21/SOD2/MMP8/RHOA/COX2/TLR6/ALOX5/GRIN1/PPARA",12
"BP","GO:0001954","positive regulation of cell-matrix adhesion","13/1012","56/18614",7.14113573565961e-06,3.16986176998224e-05,1.42234825986203e-05,"VEGFA/CSF1/KDR/NRP1/CCR7/S100A10/THY1/TEK/CX3CL1/CCL21/SMAD3/UTRN/CCL28",13
"BP","GO:0050832","defense response to fungus","13/1012","56/18614",7.14113573565961e-06,3.16986176998224e-05,1.42234825986203e-05,"IL17A/RARRES2/S100A8/S100A9/MPO/ELANE/CX3CR1/S100A12/HAMP/CLEC7A/HTN3/ZBP1/CTSG",13
"BP","GO:0003170","heart valve development","15/1012","73/18614",7.21190334722113e-06,3.19884574869914e-05,1.43535365715798e-05,"TNFRSF1A/TGFB1/ZFPM1/MTOR/SMAD4/RHOA/NOTCH1/MDM2/ELN/HEY1/ACVR1/BMPR2/TWIST1/NPPA/RB1",15
"BP","GO:2000241","regulation of reproductive process","28/1012","206/18614",7.21902164277023e-06,3.19957547563569e-05,1.43568109283615e-05,"VEGFA/AMH/GNRH1/ADA/KIT/CTNNB1/CDC25C/IGF1/TIMP1/IL1A/SRC/SOD1/NOTCH1/ASPM/CCR6/VIP/MOS/HPGDS/OXT/SEMG1/AURKA/CDC20/HOXD13/PLAT/AR/PLA2G10/P2RY1/PDE5A",28
"BP","GO:0003151","outflow tract morphogenesis","16/1012","82/18614",7.28450541195151e-06,3.22127221166933e-05,1.44541663242162e-05,"VEGFA/MIR17/CTNNB1/HIF1A/ZFPM1/SMAD4/CLDN5/NRP1/NRP2/MIR20A/EDN1/NOTCH1/ENG/ELN/BMPR2/TWIST1",16
"BP","GO:0050848","regulation of calcium-mediated signaling","16/1012","82/18614",7.28450541195151e-06,3.22127221166933e-05,1.44541663242162e-05,"CD4/MAPT/TNF/ADA/IGF1/MTOR/TREM2/CCL4/CCL3/CD22/PLEK/PRNP/CLEC7A/SYK/SLC9A1/HINT1",16
"BP","GO:0051149","positive regulation of muscle cell differentiation","16/1012","82/18614",7.28450541195151e-06,3.22127221166933e-05,1.44541663242162e-05,"ARRB2/KIT/TGFB1/MIR21/IGF1/MTOR/SIRT1/SOD2/MAPK14/MIR145/MIR424/EDN1/MIR34A/ENG/MDM2/HAMP",16
"BP","GO:0001783","B cell apoptotic process","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"IL2/IL10/PDCD1/ADA/CD74/BTK/MIF/BAK1/BCL6",9
"BP","GO:0009651","response to salt stress","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"TNF/EPO/TH/AQP4/TP53/AVP/OXT/LETM1/KMO",9
"BP","GO:0010818","T cell chemotaxis","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"CXCL10/ADAM17/CCL3/CCL5/CXCL16/CCL21/CCL26/CXCL11/ADAM10",9
"BP","GO:0032753","positive regulation of interleukin-4 production","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"NLRP3/CD28/CD40LG/FOXP3/CD86/IL33/HAVCR2/LGALS9/SYK",9
"BP","GO:0032967","positive regulation of collagen biosynthetic process","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"ARRB2/TGFB1/SERPINF2/F2/RUNX1/ITGA2/ENG/VIM/PDGFRB",9
"BP","GO:0036296","response to increased oxygen levels","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"FAS/EPO/CAT/MMP2/FOXO1/SOD2/CAV1/PDGFRB/ATP6V0A2",9
"BP","GO:0046639","negative regulation of alpha-beta T cell differentiation","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"IL2/IL4/FOXP3/RUNX1/ANXA1/TBX21/HMGB1/BCL6/SOCS1",9
"BP","GO:0090200","positive regulation of release of cytochrome c from mitochondria","9/1012","27/18614",7.71167957974153e-06,3.38966006189241e-05,1.52097392265262e-05,"PYCARD/MMP9/PINK1/DNM1L/PLAUR/TP53/TNFSF10/PMAIP1/BAK1",9
"BP","GO:0022898","regulation of transmembrane transporter activity","35/1012","289/18614",7.78336932329675e-06,3.41860083125416e-05,1.53395993148448e-05,"INS/APP/EPO/SNCA/ACE2/CHRM3/IFNG/CCL2/CRH/MMP9/TREM2/ADRB2/PINK1/RELN/ADRA2A/MIR200C/EDN1/ITGB1/SUMO1/ABCC8/CAV1/SRI/PKD2/OPRM1/PRNP/TLR9/GSTO1/KCNRG/SLC9A1/RYR2/TWIST1/UTRN/NPPA/IFNGR2/STAC3",35
"BP","GO:0038127","ERBB signaling pathway","21/1012","131/18614",7.79491757332986e-06,3.42110271273922e-05,1.53508255039814e-05,"AGT/TGFB1/EGFR/MIR21/ADAM17/MMP9/PIK3C2A/ADRA2A/EREG/MIR29A/PLAUR/PTK2/SRC/AKT1/NCF1/BCAR1/AREG/TGFA/BRAF/SHC1/ERBB2",21
"BP","GO:0002902","regulation of B cell apoptotic process","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"IL2/IL10/PDCD1/ADA/CD74/BTK/MIF/BCL6",8
"BP","GO:0030728","ovulation","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"LEP/MMP2/SIRT1/EREG/RGS2/PTGS2/PGR/PLAT",8
"BP","GO:0032305","positive regulation of icosanoid secretion","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"IL1B/IL1A/TNFSF11/EDN1/MIF/OXT/P2RX7/PLA2G10",8
"BP","GO:0045063","T-helper 1 cell differentiation","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"MTOR/CD80/CCL19/RELB/ANXA1/TBX21/IL27/HMGB1",8
"BP","GO:0060252","positive regulation of glial cell proliferation","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"IL1B/IL6/TNF/LTA/GFAP/KRAS/TSPO/MIR221",8
"BP","GO:0090201","negative regulation of release of cytochrome c from mitochondria","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"ARRB2/IGF1/HGF/LMNA/GPX1/AKT1/AVP/BAK1",8
"BP","GO:2000319","regulation of T-helper 17 cell differentiation","8/1012","21/18614",8.00549615518876e-06,3.49515537888226e-05,1.56831071252941e-05,"IL2/IL12B/IL4/MIR21/JUNB/FOXP3/IL23A/TBX21",8
"BP","GO:0006879","intracellular iron ion homeostasis","14/1012","65/18614",8.1499279924579e-06,3.55555813760514e-05,1.59541402648901e-05,"IFNG/HIF1A/LCN2/TMPRSS6/SMAD4/FTH1/CP/TF/HPX/SOD1/SRI/HAMP/ABCB6/ATP6V0A2",14
"BP","GO:0055006","cardiac cell development","17/1012","92/18614",8.20883144366334e-06,3.57858528110782e-05,1.60574653303576e-05,"VEGFA/AGT/MIR195/G6PD/MIR21/IGF1/MTOR/LMNA/SMAD4/EDN1/CDK1/NOTCH1/RGS2/PDGFRA/HAMP/PPARA/PDGFRB",17
"BP","GO:0034121","regulation of toll-like receptor signaling pathway","10/1012","34/18614",8.55092425186855e-06,3.71939755776961e-05,1.66893039126382e-05,"ARRB2/MIR17/TYRO3/TLR2/SARM1/TLR3/TLR5/MIR146A/TLR9/IRF1",10
"BP","GO:0050869","negative regulation of B cell activation","10/1012","34/18614",8.55092425186855e-06,3.71939755776961e-05,1.66893039126382e-05,"IL10/CTLA4/TNFRSF13B/CASP3/FOXP3/BTK/ATM/BANK1/FCGR2B/BCL6",10
"BP","GO:0098801","regulation of renal system process","10/1012","34/18614",8.55092425186855e-06,3.71939755776961e-05,1.66893039126382e-05,"AGT/GAS6/ADIPOQ/NPPB/ACE/EDN1/AGTR1/AVP/F2RL1/OXT",10
"BP","GO:0006749","glutathione metabolic process","13/1012","57/18614",8.79480044511515e-06,3.82263222320767e-05,1.71525280447873e-05,"NFE2L2/G6PD/GPX4/GGT1/SOD2/GPX1/SLC7A11/SOD1/HPGDS/GSTP1/GSTO1/GSTM1/SLC1A2",13
"BP","GO:0010043","response to zinc ion","12/1012","49/18614",8.88625694182294e-06,3.84807837643681e-05,1.72667074456318e-05,"TH/VCAM1/TSPO/PARP1/SOD2/S100A8/ASS1/ABCC8/HAMP/HAAO/P2RX7/SLC30A8",12
"BP","GO:0010665","regulation of cardiac muscle cell apoptotic process","12/1012","49/18614",8.88625694182294e-06,3.84807837643681e-05,1.72667074456318e-05,"AGT/MIR17/NFE2L2/MIR195/MIR21/SMAD4/MIR145/MIR20A/MIR34A/CXCR2/MIR320A/TP53",12
"BP","GO:0071470","cellular response to osmotic stress","12/1012","49/18614",8.88625694182294e-06,3.84807837643681e-05,1.72667074456318e-05,"EPO/NLRP3/PYCARD/TSPO/MTOR/CASP1/CASP3/RELB/PTGS2/PKD2/LETM1/SLC2A1",12
"BP","GO:0140895","cell surface toll-like receptor signaling pathway","12/1012","49/18614",8.88625694182294e-06,3.84807837643681e-05,1.72667074456318e-05,"TLR4/PTPN22/TREM2/LBP/NOD2/TLR1/TLR6/MIR146A/CD14/F2RL1/OAS1/PELI1",12
"BP","GO:1904752","regulation of vascular associated smooth muscle cell migration","12/1012","49/18614",8.88625694182294e-06,3.84807837643681e-05,1.72667074456318e-05,"AGT/NF1/NFE2L2/ADIPOQ/MIR21/MIR424/MIR20A/RHOA/MIR34A/MIR451A/MIR146A/MIR221",12
"BP","GO:0001867","complement activation, lectin pathway","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"A2M/MBL2/MASP1/SERPING1/FCN3/FCN1",6
"BP","GO:0010739","positive regulation of protein kinase A signaling","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"ADIPOQ/ADRB2/IAPP/RAMP3/MIF/TCIM",6
"BP","GO:0019065","receptor-mediated endocytosis of virus by host cell","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"ACE2/DPP4/CTSL/SIGLEC1/TPCN2/CAV1",6
"BP","GO:0034115","negative regulation of heterotypic cell-cell adhesion","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"IL10/IL1RN/ADIPOQ/APOA1/MBP/MIR221",6
"BP","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"VEGFA/NFE2L2/HIF1A/EGR1/TP53/VHL",6
"BP","GO:0070587","regulation of cell-cell adhesion involved in gastrulation","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"IL10/IL1RN/ADIPOQ/APOA1/MBP/MIR221",6
"BP","GO:0071492","cellular response to UV-A","6/1012","11/18614",9.28458740470172e-06,3.99983035872411e-05,1.79476335667042e-05,"TIMP1/MMP2/MMP9/MMP1/MMP3/MME",6
"BP","GO:0045732","positive regulation of protein catabolic process","28/1012","209/18614",9.52799292346245e-06,4.101667645844e-05,1.8404587524431e-05,"IL1B/TNF/APOE/IFNG/NFE2L2/TREM2/KEAP1/FOXO1/ADRA2A/FURIN/C4BPA/RNF41/GABARAP/AKT1/RACK1/IL33/SUMO1/IDE/MDM2/CAV1/HAMP/VIP/CD81/MSN/AURKA/CDC20/TAF1/ITCH",28
"BP","GO:0034644","cellular response to UV","17/1012","93/18614",9.54322854844642e-06,4.10520339177467e-05,1.84204527653681e-05,"EP300/TIMP1/MMP2/MMP9/PIK3R1/PARP1/SIRT1/MMP1/MMP3/MAPK14/MME/EIF2S1/TP53/PTGS2/CDKN1A/TAF1/BAK1",17
"BP","GO:0006006","glucose metabolic process","26/1012","187/18614",1.00610746433195e-05,4.3247825268269e-05,1.94057260148237e-05,"INS/TNF/LEP/EP300/RBP4/ADIPOQ/G6PD/GPT/SERP1/IGF1/SIRT1/ATF3/FOXO1/PTH/TFF3/MAPK14/GCG/ENO2/SRC/AKT1/TP53/PMAIP1/OAS1/RORC/PPARA/USP7",26
"BP","GO:0010906","regulation of glucose metabolic process","18/1012","103/18614",1.01149018549724e-05,4.34472566085002e-05,1.94952128253925e-05,"INS/LEP/EP300/ADIPOQ/GPT/IGF1/SIRT1/FOXO1/PTH/TFF3/GCG/SRC/AKT1/TP53/PMAIP1/RORC/PPARA/USP7",18
"BP","GO:0009074","aromatic amino acid family catabolic process","7/1012","16/18614",1.0200569074467e-05,4.37188612971657e-05,1.96170845296895e-05,"IDO1/IDO2/TDO2/PAH/TAT/HAAO/KMO",7
"BP","GO:0034349","glial cell apoptotic process","7/1012","16/18614",1.0200569074467e-05,4.37188612971657e-05,1.96170845296895e-05,"GAS6/CCL2/TREM2/TRAF2/CASP3/TP53/RB1",7
"BP","GO:0045779","negative regulation of bone resorption","7/1012","16/18614",1.0200569074467e-05,4.37188612971657e-05,1.96170845296895e-05,"IL6/CD38/IAPP/CALCA/TNFRSF11B/HAMP/P2RX7",7
"BP","GO:0046323","glucose import","15/1012","75/18614",1.02113304597152e-05,4.37329215146485e-05,1.96233934880358e-05,"INS/TNF/LEP/NFE2L2/ADIPOQ/IGF1/PIK3R1/FGF21/PTH/ACE/MAPK14/AKT1/OCLN/SLC1A2/SLC2A1",15
"BP","GO:0042306","regulation of protein import into nucleus","13/1012","58/18614",1.0776679176964e-05,4.61204000501695e-05,2.06946786691795e-05,"LEP/IFNG/NF1/TGFB1/PIK3R1/ANGPT1/TARDBP/MAPK14/CDK1/SUMO1/PTGS2/SMAD3/TRIM28",13
"BP","GO:0002418","immune response to tumor cell","9/1012","28/18614",1.08181640606486e-05,4.6129093434392e-05,2.0698579476476e-05,"IL12B/TGFB1/CD274/PRF1/AHR/HLA-A/HLA-DRB1/HAVCR2/HMGB1",9
"BP","GO:0010714","positive regulation of collagen metabolic process","9/1012","28/18614",1.08181640606486e-05,4.6129093434392e-05,2.0698579476476e-05,"ARRB2/TGFB1/SERPINF2/F2/RUNX1/ITGA2/ENG/VIM/PDGFRB",9
"BP","GO:0032703","negative regulation of interleukin-2 production","9/1012","28/18614",1.08181640606486e-05,4.6129093434392e-05,2.0698579476476e-05,"SFTPD/NOD2/PTPRC/CD34/FOXP3/TBX21/LAG3/HAVCR2/PRNP",9
"BP","GO:0051873","killing by host of symbiont cells","9/1012","28/18614",1.08181640606486e-05,4.6129093434392e-05,2.0698579476476e-05,"APOL1/MBL2/PF4/F2/ELANE/CAMP/F2RL1/CFHR1/CTSG",9
"BP","GO:0150146","cell junction disassembly","9/1012","28/18614",1.08181640606486e-05,4.6129093434392e-05,2.0698579476476e-05,"ITGAM/C3/C1QA/PIK3R1/TREM2/CX3CR1/CX3CL1/ITGB1/ABCC8",9
"BP","GO:0051492","regulation of stress fiber assembly","17/1012","94/18614",1.10683193090459e-05,4.7161366385337e-05,2.11617705371662e-05,"MIR21/PIK3R1/MTOR/NRP1/APOA1/SERPINF2/S100A10/MIR20A/RHOA/F11R/CD47/PXN/STMN1/TJP1/SLC9A1/BRAF/SMAD3",17
"BP","GO:0038084","vascular endothelial growth factor signaling pathway","12/1012","50/18614",1.11187167740686e-05,4.73071457505129e-05,2.12271831770312e-05,"VEGFA/IL12B/MIR21/KDR/NRP1/NRP2/MIR424/FLT1/FLT4/VEGFD/PDGFRA/PDGFRB",12
"BP","GO:0043457","regulation of cellular respiration","12/1012","50/18614",1.11187167740686e-05,4.73071457505129e-05,2.12271831770312e-05,"TNF/SNCA/COX7A1/IFNG/IL4/HIF1A/IL10RB/PINK1/RHOA/IDE/NOS2/IFNAR1",12
"BP","GO:0060416","response to growth hormone","10/1012","35/18614",1.13910326722887e-05,4.84305287288725e-05,2.17312562061959e-05,"GH1/PIK3R1/ASS1/F7/STAT3/GDF15/PTK2/PXN/AKT1/CSH2",10
"BP","GO:0030301","cholesterol transport","20/1012","124/18614",1.1600319568849e-05,4.92844972380023e-05,2.21144403041399e-05,"LEP/NFKB1/APOE/MIR17/ADIPOQ/TSPO/SIRT1/TREM2/PPARG/FURIN/APOA1/APOA2/NR1H2/TPCN2/CAV1/TSKU/APOB/MSR1/PLA2G10/ANXA2",20
"BP","GO:0033559","unsaturated fatty acid metabolic process","19/1012","114/18614",1.17726134109257e-05,4.99801728397033e-05,2.24265968123126e-05,"IL1B/TNFRSF1A/GPX4/SIRT1/GPX1/PTGIS/CD74/EDN1/MIR132/ALOX5/ANXA1/MIF/AVP/PTGS2/HPGDS/GSTP1/GSTM1/SCD/PLA2G10",19
